"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary.sf-fade-leave.sf-fade-leave-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (2)","1","No","0.02%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div.form>span>form.form>div.register-step-two-wrapper>span>div.sf-input.form__element>div.sf-input__wrapper>label.sf-input__label.will-change (2)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (96)","1","No","0.02%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column (1)","1","Yes","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (69)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button (105)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button (7)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (7)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (118)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-active>svg>path (4)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-1-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>span.app-header-featured-tile__cta>span.app-header-featured-tile__cta__icon>img","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center","1","Yes","0.02%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline (1)","1","Yes","0.02%"
"div#my-account>div.menu","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h2","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary.sf-fade-leave-active.sf-fade-leave-to>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button.nuxt-link-exact-active.nuxt-link-active>div","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.dark.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-dark","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div>div.title-price-wrap.flex.between-xs>div.pd-price_and-off>div.product__price-and-rating>div.regular-items-price>div.pd-price.same-price.sf-price>span.sf-price__regular (2)","1","No","0.02%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (8)","1","Yes","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item>span.sf-menu-item__label (10)","1","No","0.02%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__title>span.cart-item__title__colour (4)","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div>div.colors-wrapper.swatches-wrap>a.link-swatch-item>span.sf-image--wrapper>span.sf-image--overlay.display-none (14)","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button (2)","1","No","0.02%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>button.sf-button--pure.sf-footer-column__title.smartphone-only.sf-button>span.sf-footer-column__chevron>span.sf-chevron--top.sf-chevron>span.sf-chevron__bar.sf-chevron__bar--right","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-1-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title.app-header-featured-tile__title--five (2)","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>div.product-card__content>div.product-card__details>div.product-card__fit","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>span.app-header-featured-tile__cta (11)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>a.render-wrapper.banner.w-full.wow.storyblok__outline>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.product-slider-wrapper.render-wrapper.storyblok__outline (1)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (8)","1","No","0.02%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.empty-cart>div.empty-cart__banner>button.empty-cart__back-btn.btn.btn--mobile-undefined.btn--outline-dark>span.btn__text","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>span.eyebrow-text (1)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (24)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (93)","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div.sf-product-card__image-wrapper>a.sf-link.sf-button--pure.sf-product-card__link.sf-button>img.sf-product-card__image.product-results__product-card__image (5)","1","No","0.02%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (16)","1","Yes","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item (15)","1","No","0.02%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form>div.action>button.sf-button--text.back-to-login.sf-button","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h3 (2)","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results-filters>ul.header-search__results-filters__list","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>a.sf-header__logo.app-header__mobile-logo.nuxt-link-active>svg","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h3 (2)","1","Yes","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>svg>path (22)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap (3)","1","No","0.02%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form>div.sf-input__error-message.text-sm.text-center.register-message.mb-2>span>u.click-here","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button (1)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap.single-col>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper","1","No","0.02%"
"div#__layout>div>div>div.header-search>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__bar","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons>div.account-dropdown__wrapper>div.sf-dropdown>button.sf-button--pure.sf-header__action.sf-header__action--account.sf-button>svg>circle","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.enabled-topbar.app-header__wrapper--background-active>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>button.app-header__primary-nav-item.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>div.product-card__content>ul.product-card__swatches>li>a.product-card__swatch>img (6)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (91)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (55)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.enabled-topbar.app-header__wrapper--background-active>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons>button.sf-button--pure.sf-header__action.sf-header__action--cart.sf-button>svg","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>button.sf-header__action--account-logged-in.sf-button--pure.sf-header__action.sf-header__action--account.sf-button","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item>span.sf-menu-item__label (4)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (38)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text (2)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.image-wrapper.image-wrapper--square>img.square (9)","1","No","0.02%"
"div#my-account>div.menu>h2","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper>div>button.mobile-menu-sidebar__nav-item.mobile-menu-sidebar__nav-item--primary.sf-button--pure.sf-menu-item.sf-button>svg (1)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (27)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (60)","1","No","0.02%"
"div#my-account>div.menu>a.sf-link.sign-out-link","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-exact-active.nuxt-link-active>svg>path (4)","1","No","0.02%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__title>a.sf-link.cart-item__product-link (3)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>div.product-card__content>div.product-card__details>div.product-card__fit","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>svg (12)","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline (6)","1","Yes","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-left","1","No","0.02%"
